IP Address, Port, TLS, Data Center, Region, City, ASN, latency
45.32.243.13,443,true,AU,N/A,-,The Constant Company LLC,-
46.250.241.49,443,true,AU,N/A,-,Contabo Asia Private Limited,-
46.250.242.104,443,true,AU,N/A,-,Contabo Asia Private Limited,-
46.250.244.12,443,true,AU,N/A,-,Contabo Asia Private Limited,-
51.161.131.192,443,true,AU,N/A,-,OVH SYD DC,-
51.161.197.128,443,true,AU,N/A,-,OVH SYD2 DC,-
94.20.154.66,443,true,AZ,N/A,-,Leased IPv4 Blocks,-
185.99.2.175,443,true,BA,N/A,-,Globalhost doo  Virtual Private Servers,-
103.159.170.124,443,true,BD,N/A,-,MD AKASH AS ONLINE,-
103.48.16.37,443,true,BD,N/A,-,Bangladesh Computer Council,-
141.98.233.6,443,true,BE,N/A,-,GLOBAL CONNECTIVITY SOLUTIONS LLP,-
148.177.146.71,443,true,BE,N/A,-,Johnson  Johnson,-
194.71.227.213,443,true,BE,N/A,-,EDIS IPv6 Infrastructure in Belgium,-
35.241.172.224,443,true,BE,N/A,-,Google LLC,-
103.249.134.29,443,true,BG,N/A,-,FIRST SERVER SOCIEDAD LIMITADA,-
104.143.206.87,443,true,BG,N/A,-,Baxet Group Inc,-
104.152.48.248,443,true,BG,N/A,-,Lirbg EOOD,-
108.165.233.223,443,true,BG,N/A,-,2E Telecommunications Ltd Co,-
13.140.29.144,443,true,BG,N/A,-,Lirbg EOOD,-
13.140.29.170,443,true,BG,N/A,-,Lirbg EOOD,-
13.140.29.253,443,true,BG,N/A,-,Lirbg EOOD,-
13.140.29.45,443,true,BG,N/A,-,Lirbg EOOD,-
185.141.61.113,443,true,BG,N/A,-,Belcloud LTD,-
185.190.250.99,443,true,BG,N/A,-,Friendhosting LTD,-
185.203.116.131,443,true,BG,N/A,-,Redcluster LTD,-
185.203.119.101,443,true,BG,N/A,-,Belcloud LTD,-
185.204.53.58,443,true,BG,N/A,-,Virterion LLC,-
185.205.210.144,443,true,BG,N/A,-,Redcluster LTD,-
185.214.99.235,443,true,BG,N/A,-,Lirbg EOOD,-
185.232.170.226,443,true,BG,N/A,-,FIRST SERVER SOCIEDAD LIMITADA,-
193.239.160.134,443,true,BG,N/A,-,FIRST SERVER SOCIEDAD LIMITADA,-
193.239.160.89,443,true,BG,N/A,-,FIRST SERVER SOCIEDAD LIMITADA,-
2.27.105.199,443,true,BG,N/A,-,NetGrid Host LTD,-
45.39.241.116,443,true,BG,N/A,-,2E Telekomunikasyon LTD STI,-
78.128.99.216,443,true,BG,N/A,-,Lirbg EOOD,-
83.147.241.197,443,true,BG,N/A,-,FIRST SERVER SOCIEDAD LIMITADA,-
91.210.166.221,443,true,BG,N/A,-,Friendhosting LTD,-
91.215.152.37,443,true,BG,N/A,-,Friendhosting LTD,-
91.215.152.98,443,true,BG,N/A,-,Friendhosting LTD,-
91.215.153.143,443,true,BG,N/A,-,Friendhosting LTD,-
91.215.154.80,443,true,BG,N/A,-,Friendhosting LTD,-
91.215.154.88,443,true,BG,N/A,-,Friendhosting LTD,-
91.215.155.140,443,true,BG,N/A,-,Friendhosting LTD,-
91.247.36.168,443,true,BG,N/A,-,Friendhosting LTD,-
91.247.37.172,443,true,BG,N/A,-,Friendhosting LTD,-
91.247.37.58,443,true,BG,N/A,-,Friendhosting LTD,-
94.72.140.210,443,true,BG,N/A,-,DA International Group Ltd  AlphaVPS,-
147.45.116.9,443,true,BR,N/A,-,GLOBAL CONNECTIVITY SOLUTIONS LLP,-
152.67.41.217,443,true,BR,N/A,-,Oracle Public Cloud,-
157.151.4.93,443,true,BR,N/A,-,Oracle Corporation,-
43.174.192.1,443,true,BR,N/A,-,ACE,-
64.181.188.99,443,true,BR,N/A,-,Oracle Corporation,-
185.179.82.201,443,true,BY,N/A,-,Reliable Software Ltd,-
185.179.82.246,443,true,BY,N/A,-,Reliable Software Ltd,-
191.44.32.253,443,true,BY,N/A,-,SPRINTHOST LLP,-
212.60.4.134,443,true,BY,N/A,-,SPRINTHOST LLP,-
93.85.236.9,443,true,BY,N/A,-,Abonent MGTS,-
137.184.168.37,443,true,CA,N/A,-,DigitalOcean LLC,-
138.197.160.106,443,true,CA,N/A,-,DigitalOcean LLC,-
138.197.161.103,443,true,CA,N/A,-,DigitalOcean LLC,-
140.238.144.211,443,true,CA,N/A,-,Oracle Corporation,-
140.238.152.64,443,true,CA,N/A,-,Oracle Public Cloud,-
140.238.158.86,443,true,CA,N/A,-,Oracle Public Cloud,-
142.4.215.110,443,true,CA,N/A,-,OVH Hosting Inc,-
146.190.255.153,443,true,CA,N/A,-,DigitalOcean LLC,-
148.116.81.218,443,true,CA,N/A,-,Oracle Corporation,-
149.56.109.62,443,true,CA,N/A,-,OVH Hosting Inc,-
151.145.42.203,443,true,CA,N/A,-,Oracle Corporation,-
158.69.213.193,443,true,CA,N/A,-,OVH Hosting Inc,-
159.203.2.180,443,true,CA,N/A,-,DigitalOcean LLC,-
159.203.35.153,443,true,CA,N/A,-,DigitalOcean LLC,-
166.1.228.218,443,true,CA,N/A,-,Baxet Group Inc,-
167.160.188.156,443,true,CA,N/A,-,HostPapa,-
167.160.190.137,443,true,CA,N/A,-,HostPapa,-
167.99.183.13,443,true,CA,N/A,-,DigitalOcean LLC,-
170.9.43.85,443,true,CA,N/A,-,Oracle Corporation,-
178.128.227.189,443,true,CA,N/A,-,DigitalOcean LLC,-
178.128.231.7,443,true,CA,N/A,-,DigitalOcean LLC,-
178.128.237.86,443,true,CA,N/A,-,DigitalOcean LLC,-
192.99.169.176,443,true,CA,N/A,-,OVH Hosting Inc,-
198.199.106.194,443,true,CA,N/A,-,DigitalOcean LLC,-
40.177.65.8,443,true,CA,N/A,-,Amazon Data Services Canada,-
40.233.103.212,443,true,CA,N/A,-,Oracle Corporation,-
40.233.110.251,443,true,CA,N/A,-,Oracle Corporation,-
40.233.116.225,443,true,CA,N/A,-,Oracle Corporation,-
40.233.117.135,443,true,CA,N/A,-,Oracle Corporation,-
40.233.71.238,443,true,CA,N/A,-,Oracle Corporation,-
40.233.77.216,443,true,CA,N/A,-,Oracle Corporation,-
40.233.77.25,443,true,CA,N/A,-,Oracle Corporation,-
40.233.87.120,443,true,CA,N/A,-,Oracle Corporation,-
40.233.99.248,443,true,CA,N/A,-,Oracle Corporation,-
45.133.16.41,443,true,CA,N/A,-,ITGLOBALCOM NL BV,-
45.133.18.31,443,true,CA,N/A,-,ITGLOBALCOM NL BV,-
50.114.177.200,443,true,CA,N/A,-,Baxet Group Inc,-
68.183.207.130,443,true,CA,N/A,-,DigitalOcean LLC,-
68.233.122.42,443,true,CA,N/A,-,Oracle Corporation,-
72.11.145.117,443,true,CA,N/A,-,HostPapa,-
72.11.150.104,443,true,CA,N/A,-,HostPapa,-
103.63.30.163,443,true,CH,N/A,-,HostHatch,-
103.63.30.19,443,true,CH,N/A,-,Prinode AB,-
103.63.30.230,443,true,CH,N/A,-,Prinode AB,-
103.63.30.73,443,true,CH,N/A,-,Prinode AB,-
107.189.30.77,443,true,CH,N/A,-,BuyVM,-
132.243.174.185,443,true,CH,N/A,-,ALEXHOST SRL,-
132.243.241.190,443,true,CH,N/A,-,Baxet Group Inc,-
140.238.208.210,443,true,CH,N/A,-,Oracle Public Cloud,-
140.238.208.240,443,true,CH,N/A,-,Oracle Public Cloud,-
140.238.209.8,443,true,CH,N/A,-,Oracle Public Cloud,-
140.238.214.95,443,true,CH,N/A,-,Oracle Corporation,-
141.227.139.175,443,true,CH,N/A,-,OVH CH,-
141.227.149.108,443,true,CH,N/A,-,OVH CH,-
144.24.255.71,443,true,CH,N/A,-,Oracle Corp UK Ltd,-
146.70.233.11,443,true,CH,N/A,-,M247 LTD Zurich Infrastructure,-
146.70.233.25,443,true,CH,N/A,-,M247 Europe  Zurich Infrastructure,-
146.70.233.51,443,true,CH,N/A,-,M247 LTD Zurich Infrastructure,-
146.70.71.157,443,true,CH,N/A,-,M247 LTD Zurich,-
151.158.1.131,443,true,CH,N/A,-,Evoxt CH,-
152.67.64.55,443,true,CH,N/A,-,Oracle Public Cloud,-
152.67.67.58,443,true,CH,N/A,-,Cloudflare London LLC,-
152.67.79.135,443,true,CH,N/A,-,Oracle Public Cloud,-
152.67.85.239,443,true,CH,N/A,-,Oracle Public Cloud,-
16.63.207.85,443,true,CH,N/A,-,Amazon Data Services Switzerland,-
167.17.181.19,443,true,CH,N/A,-,Baxet Group Inc,-
167.17.181.45,443,true,CH,N/A,-,Baxet Group Inc,-
167.17.181.72,443,true,CH,N/A,-,Baxet Group Inc,-
167.17.183.184,443,true,CH,N/A,-,Baxet Group Inc,-
171.22.16.201,443,true,CH,N/A,-,GLOBAL CONNECTIVITY SOLUTIONS LLP,-
171.22.16.231,443,true,CH,N/A,-,GLOBAL CONNECTIVITY SOLUTIONS LLP,-
179.237.87.154,443,true,CH,N/A,-,Infomaniak Network SA,-
179.237.87.184,443,true,CH,N/A,-,Infomaniak Network SA,-
179.43.156.121,443,true,CH,N/A,-,PRIVATE LAYER INC,-
179.43.180.236,443,true,CH,N/A,-,Private Layer INC,-
185.167.234.192,443,true,CH,N/A,-,Private Customer,-
185.191.239.133,443,true,CH,N/A,-,Fidel Ernesto Geronimo Ramirez trading as Global Business Consulting Geronimo Ramirez,-
185.191.239.218,443,true,CH,N/A,-,Fidel Ernesto Geronimo Ramirez trading as Global Business Consulting Geronimo Ramirez,-
185.195.69.158,443,true,CH,N/A,-,Datasource AG,-
185.195.69.19,443,true,CH,N/A,-,Datasource AG,-
185.195.69.64,443,true,CH,N/A,-,Datasource AG,-
185.195.69.72,443,true,CH,N/A,-,Datasource AG,-
185.218.204.205,443,true,CH,N/A,-,HOSTKEY BV,-
185.234.213.169,443,true,CH,N/A,-,Misaka Network Inc,-
185.237.225.47,443,true,CH,N/A,-,Friendhosting LTD,-
185.237.225.95,443,true,CH,N/A,-,Friendhosting LTD,-
188.244.117.27,443,true,CH,N/A,-,Prinode AB,-
193.228.128.110,443,true,CH,N/A,-,GLOBAL INTERNET SOLUTIONS LLC,-
194.154.29.164,443,true,CH,N/A,-,Datasource AG,-
194.154.29.245,443,true,CH,N/A,-,Datasource AG,-
194.154.29.72,443,true,CH,N/A,-,Datasource AG,-
194.154.29.81,443,true,CH,N/A,-,Datasource AG,-
194.246.118.199,443,true,CH,N/A,-,Iway AG,-
199.68.196.28,443,true,CH,N/A,-,Datasource AG,-
2.59.219.220,443,true,CH,N/A,-,ALEXHOST SRL,-
2.59.219.90,443,true,CH,N/A,-,ALEXHOST SRL,-
213.176.18.108,443,true,CH,N/A,-,GLOBAL CONNECTIVITY SOLUTIONS LLP,-
213.176.18.232,443,true,CH,N/A,-,GLOBAL CONNECTIVITY SOLUTIONS LLP,-
213.176.18.42,443,true,CH,N/A,-,GLOBAL CONNECTIVITY SOLUTIONS LLP,-
31.7.56.138,443,true,CH,N/A,-,Private Layer INC,-
38.180.161.128,443,true,CH,N/A,-,3NT SOLUTIONS LLP,-
45.148.102.235,443,true,CH,N/A,-,GLOBAL CONNECTIVITY SOLUTIONS LLP,-
45.148.102.244,443,true,CH,N/A,-,GLOBAL CONNECTIVITY SOLUTIONS LLP,-
45.148.118.224,443,true,CH,N/A,-,Baxet Group Inc,-
45.59.113.85,443,true,CH,N/A,-,RouterHosting LLC,-
45.59.117.171,443,true,CH,N/A,-,RouterHosting LLC,-
45.59.122.12,443,true,CH,N/A,-,RouterHosting LLC,-
45.59.122.74,443,true,CH,N/A,-,RouterHosting LLC,-
45.59.123.132,443,true,CH,N/A,-,RouterHosting LLC,-
45.59.123.140,443,true,CH,N/A,-,RouterHosting LLC,-
45.59.124.103,443,true,CH,N/A,-,RouterHosting LLC,-
45.59.124.39,443,true,CH,N/A,-,RouterHosting LLC,-
45.59.125.191,443,true,CH,N/A,-,RouterHosting LLC,-
45.59.125.193,443,true,CH,N/A,-,RouterHosting LLC,-
45.59.125.61,443,true,CH,N/A,-,RouterHosting LLC,-
45.85.93.45,443,true,CH,N/A,-,Internet Utilities Europe and Asia Limited,-
45.90.59.18,443,true,CH,N/A,-,Green Floid LLC,-
45.90.59.186,443,true,CH,N/A,-,Green Floid LLC,-
45.95.232.113,443,true,CH,N/A,-,GLOBAL CONNECTIVITY SOLUTIONS LLP,-
79.132.141.152,443,true,CH,N/A,-,Datasource AG,-
80.68.159.43,443,true,CH,N/A,-,Friendhosting LTD,-
82.38.64.162,443,true,CH,N/A,-,HOSTKEY BV,-
83.228.193.162,443,true,CH,N/A,-,Infomaniak Network SA,-
83.228.193.177,443,true,CH,N/A,-,Infomaniak Network SA,-
83.228.193.188,443,true,CH,N/A,-,Infomaniak Network SA,-
83.228.193.229,443,true,CH,N/A,-,Infomaniak Network SA,-
83.228.198.53,443,true,CH,N/A,-,Infomaniak Network SA,-
83.228.199.3,443,true,CH,N/A,-,Infomaniak Network SA,-
83.228.207.11,443,true,CH,N/A,-,Infomaniak Network SA,-
83.228.207.179,443,true,CH,N/A,-,Infomaniak Network SA,-
83.228.219.7,443,true,CH,N/A,-,Infomaniak Network SA,-
83.228.221.170,443,true,CH,N/A,-,Infomaniak Network SA,-
83.228.222.61,443,true,CH,N/A,-,Infomaniak Network SA,-
83.228.240.71,443,true,CH,N/A,-,Infomaniak Network SA,-
83.228.242.220,443,true,CH,N/A,-,Infomaniak Network SA,-
84.234.16.169,443,true,CH,N/A,-,Infomaniak Network SA,-
84.234.17.132,443,true,CH,N/A,-,Infomaniak Network SA,-
87.120.222.125,443,true,CH,N/A,-,GLOBAL CONNECTIVITY SOLUTIONS LLP,-
87.120.222.168,443,true,CH,N/A,-,GLOBAL CONNECTIVITY SOLUTIONS LLP,-
87.120.222.172,443,true,CH,N/A,-,GLOBAL CONNECTIVITY SOLUTIONS LLP,-
87.120.222.188,443,true,CH,N/A,-,GLOBAL CONNECTIVITY SOLUTIONS LLP,-
87.120.222.199,443,true,CH,N/A,-,GLOBAL CONNECTIVITY SOLUTIONS LLP,-
87.120.222.2,443,true,CH,N/A,-,GLOBAL CONNECTIVITY SOLUTIONS LLP,-
87.120.222.207,443,true,CH,N/A,-,GLOBAL CONNECTIVITY SOLUTIONS LLP,-
87.120.222.26,443,true,CH,N/A,-,GLOBAL CONNECTIVITY SOLUTIONS LLP,-
89.127.196.117,443,true,CH,N/A,-,Datasource AG,-
89.127.196.14,443,true,CH,N/A,-,Datasource AG,-
89.127.196.42,443,true,CH,N/A,-,Datasource AG,-
89.127.196.71,443,true,CH,N/A,-,Datasource AG,-
91.90.193.54,443,true,CH,N/A,-,Friendhosting LTD,-
129.151.113.165,443,true,CL,N/A,-,Cloudflare London LLC,-
64.176.9.246,443,true,CL,N/A,-,The Constant Company LLC,-
58.247.200.18,443,true,CN,N/A,-,CHINA UNICOM Shanghai network,-
157.137.229.226,443,true,CO,N/A,-,Cloudflare Inc,-
134.255.210.74,443,true,CY,N/A,-,EDIS IPv6 Infrastructure in Cyprus,-
194.55.164.118,443,true,CY,N/A,-,CLOUDLAYER8 LIMITED,-
194.55.166.65,443,true,CY,N/A,-,CLOUDLAYER8 LIMITED,-
213.7.187.34,443,true,CY,N/A,-,Cyprus Telecommunications Authority,-
103.119.18.30,443,true,CZ,N/A,-,Retzor Inc,-
109.172.8.37,443,true,CZ,N/A,-,SmartApe OU,-
109.172.8.39,443,true,CZ,N/A,-,SmartApe OU,-
109.172.8.73,443,true,CZ,N/A,-,SmartApe OU,-
109.172.8.74,443,true,CZ,N/A,-,SmartApe OU,-
109.172.8.80,443,true,CZ,N/A,-,SmartApe OU,-
109.172.9.100,443,true,CZ,N/A,-,SmartApe OU,-
109.172.9.242,443,true,CZ,N/A,-,SmartApe OU,-
109.172.9.38,443,true,CZ,N/A,-,SmartApe OU,-
109.234.32.32,443,true,CZ,N/A,-,Iron Hosting Centre Ltd London UK mchost,-
109.238.95.229,443,true,CZ,N/A,-,SmartApe OU,-
109.238.95.54,443,true,CZ,N/A,-,SmartApe OU,-
132.243.237.53,443,true,CZ,N/A,-,Baxet Group Inc,-
141.133.172.132,443,true,CZ,N/A,-,SmartApe OU,-
141.133.175.133,443,true,CZ,N/A,-,SmartApe OU,-
178.208.75.153,443,true,CZ,N/A,-,Iron Hosting Centre Ltd London UK mchost,-
178.208.91.143,443,true,CZ,N/A,-,Iron Hosting Centre Ltd London UK mchost,-
178.208.91.177,443,true,CZ,N/A,-,Iron Hosting Centre Ltd London UK mchost,-
185.253.46.235,443,true,CZ,N/A,-,Friendhosting LTD,-
185.253.46.27,443,true,CZ,N/A,-,Friendhosting LTD,-
185.253.46.31,443,true,CZ,N/A,-,Friendhosting LTD,-
185.28.100.60,443,true,CZ,N/A,-,INTERNET CZ as,-
185.72.10.59,443,true,CZ,N/A,-,Iron Hosting Centre LTD,-
185.72.10.61,443,true,CZ,N/A,-,Iron Hosting Centre LTD,-
185.72.10.70,443,true,CZ,N/A,-,Iron Hosting Centre LTD,-
185.72.10.89,443,true,CZ,N/A,-,Iron Hosting Centre LTD,-
188.127.247.6,443,true,CZ,N/A,-,SmartApe OU,-
188.214.35.66,443,true,CZ,N/A,-,EDIS IPv6 Infrastructure in Czechia,-
193.124.56.100,443,true,CZ,N/A,-,SmartApe OU,-
193.124.56.49,443,true,CZ,N/A,-,SmartApe OU,-
193.124.56.89,443,true,CZ,N/A,-,SmartApe OU,-
193.124.56.99,443,true,CZ,N/A,-,SmartApe OU,-
193.124.57.19,443,true,CZ,N/A,-,SmartApe OU,-
193.124.57.87,443,true,CZ,N/A,-,SmartApe OU,-
193.124.58.171,443,true,CZ,N/A,-,SmartApe OU,-
193.124.58.60,443,true,CZ,N/A,-,SmartApe OU,-
193.124.58.61,443,true,CZ,N/A,-,SmartApe OU,-
193.124.58.89,443,true,CZ,N/A,-,SmartApe OU,-
193.162.47.60,443,true,CZ,N/A,-,Friendhosting LTD,-
194.182.80.100,443,true,CZ,N/A,-,INTERNET CZ as,-
195.123.244.230,443,true,CZ,N/A,-,Green Floid LLC,-
195.123.244.28,443,true,CZ,N/A,-,GREEN FLOID LLC,-
195.123.244.83,443,true,CZ,N/A,-,Green Floid LLC,-
195.133.35.154,443,true,CZ,N/A,-,Reliable Communications sro,-
195.133.35.63,443,true,CZ,N/A,-,Reliable Communications sro,-
45.151.183.187,443,true,CZ,N/A,-,Retzorcom,-
45.151.183.22,443,true,CZ,N/A,-,Retzorcom,-
46.28.70.117,443,true,CZ,N/A,-,GREEN FLOID LLC,-
46.28.70.200,443,true,CZ,N/A,-,GREEN FLOID LLC,-
80.211.206.36,443,true,CZ,N/A,-,INTERNET CZ as,-
85.137.164.56,443,true,CZ,N/A,-,SmartApe OU,-
85.137.165.164,443,true,CZ,N/A,-,SmartApe OU,-
85.137.165.171,443,true,CZ,N/A,-,SmartApe OU,-
85.137.165.190,443,true,CZ,N/A,-,SmartApe OU,-
85.137.165.97,443,true,CZ,N/A,-,SmartApe OU,-
85.137.166.252,443,true,CZ,N/A,-,SmartApe OU,-
85.137.166.6,443,true,CZ,N/A,-,SmartApe OU,-
85.137.167.101,443,true,CZ,N/A,-,SmartApe OU,-
85.137.167.159,443,true,CZ,N/A,-,SmartApe OU,-
85.137.167.180,443,true,CZ,N/A,-,SmartApe OU,-
85.137.167.21,443,true,CZ,N/A,-,SmartApe OU,-
85.137.167.53,443,true,CZ,N/A,-,SmartApe OU,-
85.255.6.88,443,true,CZ,N/A,-,INTERNET CZ as,-
87.236.146.111,443,true,CZ,N/A,-,SmartApe OU,-
87.236.146.43,443,true,CZ,N/A,-,SmartApe OU,-
87.236.146.76,443,true,CZ,N/A,-,SmartApe OU,-
89.125.106.121,443,true,CZ,N/A,-,Baxet Group Inc,-
89.125.106.138,443,true,CZ,N/A,-,Baxet Group Inc,-
89.125.106.157,443,true,CZ,N/A,-,Baxet Group Inc,-
91.184.248.36,443,true,CZ,N/A,-,SmartApe OU,-
91.184.249.146,443,true,CZ,N/A,-,SmartApe OU,-
91.184.250.16,443,true,CZ,N/A,-,SmartApe OU,-
91.184.250.182,443,true,CZ,N/A,-,SmartApe OU,-
91.184.250.202,443,true,CZ,N/A,-,SmartApe OU,-
91.199.147.41,443,true,CZ,N/A,-,SmartApe OU,-
91.199.154.97,443,true,CZ,N/A,-,SmartApe OU,-
91.199.160.188,443,true,CZ,N/A,-,SmartApe OU,-
91.199.160.39,443,true,CZ,N/A,-,SmartApe OU,-
91.199.160.46,443,true,CZ,N/A,-,SmartApe OU,-
92.61.71.112,443,true,CZ,N/A,-,SmartApe OU,-
92.61.71.49,443,true,CZ,N/A,-,SmartApe OU,-
102.215.228.162,443,true,DE,N/A,-,DASABO OU,-
103.109.234.61,443,true,DE,N/A,-,WEYRO LTD,-
103.228.168.182,443,true,DE,N/A,-,Fornex Hosting SL,-
103.228.168.80,443,true,DE,N/A,-,Fornex Hosting SL,-
103.27.156.147,443,true,DE,N/A,-,NETAXIS GROUP LTD,-
103.31.76.16,443,true,DE,N/A,-,Baxet Group Inc,-
103.56.84.189,443,true,DE,N/A,-,Baxet Group Inc,-
103.75.199.16,443,true,DE,N/A,-,Parsun Network Solutions PTY LTD,-
104.105.9.100,443,true,DE,N/A,-,Linode,-
104.152.49.13,443,true,DE,N/A,-,AlphaVPS LLC,-
104.152.49.155,443,true,DE,N/A,-,AlphaVPS LLC,-
104.152.49.87,443,true,DE,N/A,-,AlphaVPS LLC,-
104.194.156.84,443,true,DE,N/A,-,RouterHosting LLC,-
104.194.158.111,443,true,DE,N/A,-,RouterHosting LLC,-
104.194.159.48,443,true,DE,N/A,-,RouterHosting LLC,-
104.207.130.92,443,true,DE,N/A,-,Vultr Holdings LLC,-
104.238.177.144,443,true,DE,N/A,-,The Constant Company LLC,-
104.248.132.134,443,true,DE,N/A,-,DigitalOcean LLC,-
104.248.136.46,443,true,DE,N/A,-,DigitalOcean LLC,-
104.248.142.217,443,true,DE,N/A,-,DigitalOcean LLC,-
104.248.18.117,443,true,DE,N/A,-,DigitalOcean LLC,-
104.248.20.104,443,true,DE,N/A,-,DigitalOcean LLC,-
104.248.20.85,443,true,DE,N/A,-,DigitalOcean LLC,-
104.248.23.56,443,true,DE,N/A,-,DigitalOcean LLC,-
104.248.240.93,443,true,DE,N/A,-,DigitalOcean LLC,-
104.248.245.101,443,true,DE,N/A,-,DigitalOcean LLC,-
